#TYPE System.Collections.DictionaryEntry,,,
Name,Key,Value,
PARKING LOT V ,PARKING LOT V ,7,0.001464129
CAMPUS DEVELOPMENT & FACILITIES BUILDING ,CAMPUS DEVELOPMENT & FACILITIES BUILDING ,7,0.001464129
27TH ST & FIGUEROA ST ,27TH ST & FIGUEROA ST ,7,0.001464129
TERRACE APARTMENTS ,TERRACE APARTMENTS ,7,0.001464129
36TH ST ,36TH ST ,7,0.001464129
34TH ST & TROUSDALE PKY ,34TH ST & TROUSDALE PKY ,7,0.001464129
ALPHA GAMMA OMEGA ,ALPHA GAMMA OMEGA ,7,0.001464129
JACK IN THE BOX ,JACK IN THE BOX ,7,0.001464129
37TH DR ,37TH DR ,7,0.001464129
JEFFERSON BL & ORCHARD AV ,JEFFERSON BL & ORCHARD AV ,7,0.001464129
29TH ST & ELLENDALE PL ,29TH ST & ELLENDALE PL ,7,0.001464129
HEALTH SCIENCES CAMPUS PARKING STRUCTURE ,HEALTH SCIENCES CAMPUS PARKING STRUCTURE ,7,0.001464129
STEVEN & KATHRYN SAMPLE HALL ,STEVEN & KATHRYN SAMPLE HALL ,7,0.001464129
25TH ST ,25TH ST ,7,0.001464129
HENRY SALVATORI COMPUTER SCIENCE CENTER ,HENRY SALVATORI COMPUTER SCIENCE CENTER ,7,0.001464129
EXPOSITION BL & FIGUEROA ST ,EXPOSITION BL & FIGUEROA ST ,7,0.001464129
PARKING STRUCTURE ONE ,PARKING STRUCTURE ONE ,7,0.001464129
CORWIN D. DENNEY RESEARCH CENTER ,CORWIN D. DENNEY RESEARCH CENTER ,7,0.001464129
JOHN G. BROOKS MEMORIAL PAVILION & DEDEAUX FIELD ,JOHN G. BROOKS MEMORIAL PAVILION & DEDEAUX FIELD ,6,0.001254968
ADAMS BL & HOOVER ST ,ADAMS BL & HOOVER ST ,6,0.001254968
FOUNDERS APARTMENTS ,FOUNDERS APARTMENTS ,6,0.001254968
PHI GAMMA DELTA ,PHI GAMMA DELTA ,6,0.001254968
LOS ANGELES MEMORIAL COLISEUM ,LOS ANGELES MEMORIAL COLISEUM ,6,0.001254968
PI KAPPA PHI ,PI KAPPA PHI ,6,0.001254968
MARDI GRAS APTS. ,MARDI GRAS APTS. ,6,0.001254968
MUSIC PRACTICE AND INSTRUCTIONAL ,MUSIC PRACTICE AND INSTRUCTIONAL ,6,0.001254968
29TH ST & HOOVER ST ,29TH ST & HOOVER ST ,6,0.001254968
HOFFMAN CONTRACTS RESEARCH BUILDING ,HOFFMAN CONTRACTS RESEARCH BUILDING ,6,0.001254968
ROYAL ST ,ROYAL ST ,6,0.001254968
JEFFERSON BL & ROYAL ST ,JEFFERSON BL & ROYAL ST ,6,0.001254968
MONMOUTH AV ,MONMOUTH AV ,6,0.001254968
SEAVER SCIENCE LIBRARY ,SEAVER SCIENCE LIBRARY ,6,0.001254968
PORTLAND VILLA ,PORTLAND VILLA ,6,0.001254968
RAY R. IRANI HALL ,RAY R. IRANI HALL ,6,0.001254968
ZETA BETA TAU ,ZETA BETA TAU ,6,0.001254968
34TH ST & FIGUEROA ST ,34TH ST & FIGUEROA ST ,6,0.001254968
BUDLONG AV ,BUDLONG AV ,5,0.001045806
HOOVER ST ,HOOVER ST ,5,0.001045806
EXPOSITION PARK-ROSE GARDEN ,EXPOSITION PARK-ROSE GARDEN ,5,0.001045806
ALPHA PHI ,ALPHA PHI ,5,0.001045806
LAIRD J. STABLER MEMORIAL HALL ,LAIRD J. STABLER MEMORIAL HALL ,5,0.001045806
